,ci_test_results,z_test_results,z_test_p_values,mean_diff
A1BG,True,False,0.3319295589667487,-1.2122031575918866
A1CF,True,False,0.3502643440838309,0.9222105142718476
A2M,True,True,0.01590079884604982,-16.824068592700005
A2ML1,True,False,0.12899978635539505,-0.9622997972061997
A4GALT,True,False,0.7356805049026885,-0.3148899585139997
A4GNT,True,False,0.6350186486422167,0.3624178269938091
AAAS,True,False,0.7716502009854199,-0.5751300480000054
AACS,True,False,0.10997049109928693,-1.5704222348000005
AADAC,True,False,0.2738857739623334,0.971779490941574
AADACL2,True,False,0.9256466913844703,0.07821752580914998
AADACL3,True,False,0.7191056303869536,0.3369556997725448
AADAT,True,False,0.6027102762012916,0.6201785064834002
AAED1,True,False,0.5211144683089873,-0.49473606360000133
AAGAB,False,True,0.0007041935654753635,-3.889912342999999
AAK1,False,True,1.876914827956185e-35,-19.506222651999998
AAMDC,True,False,0.174860776610809,-3.4837218229599998
AAMP,True,False,0.11207015486434141,-3.876268977999999
AANAT,True,False,0.5318629127400399,-1.093672358260001
AAR2,False,True,1.0462668534268591e-05,-3.631296753800001
AARD,True,False,0.0840868285580389,-1.1647880403131996
AARS,True,False,0.057396085646581996,7.087058543000012
AARS2,False,True,0.0072289753319149785,-2.084748789399999
AASDH,True,False,0.31145116794618666,1.1488958769399993
AASDHPPT,True,False,0.48393043224381493,-0.9696276381999986
AASS,True,False,0.20936253418905626,-0.8851054290223996
AATF,False,True,0.00388821861616461,-3.606786186000008
AATK,True,False,0.1892629811942338,-1.6750679523719993
ABAT,True,True,0.03558119566206325,-2.011573773080002
ABC7-42404400C24.1,True,False,0.6189823814987395,-0.10973935597279971
ABCA1,True,True,0.01813407911032009,3.863976423563999
ABCA10,True,False,0.9659973534849535,0.02210485872793999
ABCA12,True,False,0.10446139582307157,2.5100187311246795
ABCA13,True,False,0.37753054168373035,-1.2874371330253398
ABCA2,False,True,5.490737395837456e-29,-29.115051052800002
ABCA3,False,True,0.0013193852346871462,-1.4471414998799998
ABCA4,True,False,0.23756891681800263,1.4787192098735
ABCA5,True,True,0.03755365213141164,-2.454710371199999
ABCA6,True,False,0.1950489902502225,1.8615908045272997
ABCA7,True,False,0.058546999276412375,-4.348041630600001
ABCA8,True,False,0.08908460061618682,-2.739672667067696
ABCA9,True,False,0.17055200292560546,-1.9816704506715999
ABCB1,True,False,0.2222467998904788,-4.576218077123993
ABCB10,True,True,0.04317953423431511,-3.013010798599998
ABCB11,True,False,0.06342130406719766,2.434069954057226
ABCB4,False,True,0.0007318408856880668,5.107388467564001
ABCB5,True,False,0.93873485949492,-0.02301781366899991
ABCB6,True,False,0.10765474598295546,2.5962322908999997
ABCB7,True,False,0.7613729583388136,0.40448118400000155
ABCB8,True,False,0.7344394093154651,-0.4923128272000028
ABCB9,True,False,0.5648571515503568,0.27504584929999876
ABCC1,True,False,0.06235610916936056,2.9515508892000035
ABCC10,False,True,5.9752559349178554e-05,-3.8901060824000027
ABCC11,True,False,0.6231789170118228,-0.22970505126529994
ABCC12,True,False,0.2644383925568957,-1.2550700356819422
ABCC2,True,True,0.013984478289736311,3.901995737220002
ABCC3,True,False,0.07892052651207947,1.6051627886706
ABCC4,True,False,0.10860180827348574,2.027180918700001
ABCC5,True,False,0.15304006717181692,-3.6015658073999965
ABCC6,True,False,0.8195467642256141,0.24747292531439902
ABCC8,True,False,0.977038799387007,0.01802224341826053
ABCC9,True,False,0.8946708129521067,0.13517296278599966
ABCD1,True,False,0.21196994396809377,-1.2740526691999996
ABCD2,True,False,0.9880953877455253,-0.016927423684000242
ABCD3,True,False,0.6322584711572783,-0.816819602200006
ABCD4,False,True,1.3997276604223606e-08,-4.2134042598000025
ABCE1,False,True,0.00030719379823630034,7.325409897999997
ABCF1,True,False,0.07597341525698341,-3.870594526000005
ABCF2,True,False,0.12086949675490295,2.4278424369999954
ABCF3,True,False,0.26560540445767844,1.4717206568000023
ABCG1,True,True,0.02613983614644331,1.9429314240799993
ABCG2,True,False,0.3735221640267812,-1.6194813767900014
ABCG4,True,False,0.7978165462960958,-0.08772102595420805
ABCG5,True,False,0.09359379360039484,-0.6273001661415426
ABCG8,True,False,0.9902706162442136,-0.01371123861238921
ABHD1,True,False,0.9129206424499692,-0.09875345729520002
ABHD10,True,True,0.01484541145123846,4.1589838742000005
ABHD11,True,False,0.8881017356280507,-0.10242179872000001
ABHD12,False,True,2.1999053605958553e-06,-8.392897125799998
ABHD12B,True,False,0.1547361519084063,0.9332771456253118
ABHD13,True,False,0.5411365623721065,-0.8649904379999995
ABHD14A,False,True,1.2055783982048388e-07,-5.390170076999993
ABHD14B,True,False,0.45362350659817985,-1.2338941160000019
ABHD15,False,True,6.156601133153245e-10,-11.831831265399998
ABHD16A,True,False,0.17519292274613008,-1.2303093009999984
ABHD16B,False,True,0.041501357423490766,4.257270414601512
ABHD17A,False,True,9.997825425464563e-46,-86.2252379294
ABHD17B,True,False,0.07393355315783767,-3.6441194571999986
ABHD17C,True,False,0.06548928746459415,2.846450882660001
ABHD2,False,True,1.4100746807134963e-13,-16.64574559399999
ABHD3,False,True,0.0012537542033395823,-6.01876896400001
ABHD4,False,True,6.663702483081315e-09,-11.6992319398
ABHD5,True,False,0.0898883299626553,-2.247344673000004
ABHD6,True,False,0.06102718223218479,2.8937065931999992
ABHD8,True,True,0.049331926692949044,-1.3630978684000006
ABI1,True,False,0.2832474499134039,-2.343410516000006
ABI2,True,False,0.412770359207943,-1.4806720285999972
ABI3,False,True,2.2275551928312738e-46,-47.06437706060001
ABI3BP,True,False,0.3060023359504458,-3.6536862720306438
ABL1,False,True,7.48074772697648e-09,-5.185613550999996
ABL2,True,False,0.3495025897374604,0.8617108644000009
ABLIM2,True,False,0.4291020589076584,-0.5554981273734001
ABLIM3,True,False,0.8594794543063591,-0.1448325759327993
ABR,False,True,1.4693253980831154e-08,-98.37447376200004
ABRA,True,False,0.14270229119037603,2.81041083850726
ABRACL,False,True,4.006435784273619e-09,-17.915046063999995
ABT1,False,True,0.0008902801322877474,-3.299122316999995
ABTB1,True,False,0.5694166561075222,-2.6134613131999913
ABTB2,True,False,0.9385972973509552,0.15775456451999936
AC004076.9,True,False,0.11755558970514114,1.7625354080844
AC004158.1,True,False,0.058494550492508124,3.996855955099439
AC004381.6,True,True,0.03234810389501785,3.7747117910899997
AC004556.1,True,False,0.38860720892000766,1.3795030966436226
AC004813.1,False,True,0.00046506795874801246,-6.056298185549995
AC004853.1,True,False,0.7770120830778083,0.2972037762482467
AC005477.1,True,False,0.9934436770189632,0.008649113618876214
AC005480.1,True,False,0.6160863940354067,0.6400686905797996
AC006386.1,True,False,0.641923267353387,-0.3997796354204004
AC006449.1,False,True,4.9792120436846386e-36,-28.53861325972
AC006449.2,False,True,8.22735714308555e-31,-28.42666236706
AC006994.3,True,False,0.503386878493305,-1.8164062098461309
AC007163.2,True,False,0.1670032783978629,-1.1674650410421479
AC007325.1,True,False,0.48225662929427593,1.2350685378699993
AC007325.2,True,False,0.20869175271266616,-0.83213793168128
AC007906.1,True,False,0.06847747159145427,-1.3862329917241998
AC008810.1,True,False,0.18447623689409587,1.986962080817996
AC009022.1,True,False,0.36590947525056106,-0.5954281058204014
AC009060.2,True,True,0.008718641969612279,-5.674498213599996
AC009758.1,True,False,0.7685883266415274,-0.43236110525338844
AC010287.1,True,False,0.36859315631250655,0.9648396900251197
AC011043.1,True,False,0.08937063139492214,-1.816610947041199
AC011476.1,True,False,0.21097323549650338,-1.4330280926179806
AC011476.10,True,True,0.012553159818249391,-2.1157160556858217
AC011476.11,True,False,0.6770677320471599,0.28933483945334015
AC011476.12,True,False,0.2395064945884272,1.2503292504143402
AC011476.13,True,False,0.9411492508169435,0.07099596400639974
AC011476.14,True,False,0.8531268857118142,-0.14473378711935847
AC011476.15,True,False,0.8185139343545029,0.2872571427498001
AC011476.16,True,False,0.3212407711104257,-1.1391212956599714
AC011476.17,False,True,4.2472592303400165e-06,-2.4276143452961954
AC011476.18,True,False,0.4939062458608541,0.9964515783399661
AC011476.19,False,True,0.001958403123803324,-3.1793829234140008
AC011476.2,True,False,0.24168685436047965,-1.0028431459030482
AC011476.20,True,False,0.1910198828776396,1.0651137186806001
AC011476.21,True,False,0.43147791779257383,0.8600797181515998
AC011476.22,True,False,0.09370451649163564,-1.8075666990525117
